"identifiant_source","zone","fournisseur","nom_base_donnees","lien","date_mise_a_jour"
65,"Colombie-Britannique","Province de la Colombie-Britannique","Locations of B.C. Post-Secondary Institutions","https://maps.gov.bc.ca/ess/hm/imap4m/","2024-02-22"
66,"Colombie-Britannique","Province de la Colombie-Britannique","StrongStart BC Centre Locations","https://maps.gov.bc.ca/ess/hm/imap4m/","2024-05-02"
68,"Québec","Province de Québec","Installations privées","https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#","2024-07-02"
69,"Québec","Province de Québec","Écoles publiques","https://www.donneesquebec.ca/recherche/dataset/localisation-des-etablissements-d-enseignement-du-reseau-scolaire-au-quebec#","2024-07-02"
70,"Alberta","Emploi et Développement social Canada","List of Designated Educational Institutions-Alberta","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
71,"Colombie-Britannique","Emploi et Développement social Canada","List of Designated Educational Institutions-British Columbia","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
72,"Manitoba","Emploi et Développement social Canada","List of Designated Educational Institutions-Manitoba","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
73,"Nouveau-Brunswick","Emploi et Développement social Canada","List of Designated Educational Institutions-New Brunswick","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
74,"Terre-Neuve-et-Labrador","Emploi et Développement social Canada","List of Designated Educational Institutions-Newfoundland and Labrador","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
75,"Territoires du Nord-Ouest","Emploi et Développement social Canada","List of Designated Educational Institutions-Northwest Territories","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
76,"Nouvelle-Écosse","Emploi et Développement social Canada","List of Designated Educational Institutions-Nova Scotia","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
77,"Nunavut","Emploi et Développement social Canada","List of Designated Educational Institutions-Nunavut","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
78,"Ontario","Emploi et Développement social Canada","List of Designated Educational Institutions-Ontario","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
79,"Île-du-Prince-Édouard","Emploi et Développement social Canada","List of Designated Educational Institutions-Prince Edward Island","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
80,"Québec","Emploi et Développement social Canada","List of Designated Educational Institutions-Quebec","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
81,"Saskatchewan","Emploi et Développement social Canada","List of Designated Educational Institutions-Saskatchewan","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
82,"Yukon","Emploi et Développement social Canada","List of Designated Educational Institutions-Yukon","https://www.canada.ca/en/employment-social-development/programs/designated-schools.html","2024-08-09"
83,"Nouveau-Brunswick","Province du Nouveau-Brunswick","List of Public Schools","Données non disponibles publiquement. Veuillez contacter le fournisseur pour plus d'informations","2024-09-05"
84,"Québec","Province de Québec","Schools to School Boards map","Données non disponibles publiquement. Veuillez contacter le fournisseur pour plus d'informations","2024-09-16"
85,"Nouveau-Brunswick","Province du Nouveau-Brunswick","Geospatial data of Public Schools","Données non disponibles publiquement. Veuillez contacter le fournisseur pour plus d'informations","2024-09-13"
86,"Île-du-Prince-Édouard","Province de l'Île-du-Prince-Édouard","Our Schools","https://psb.edu.pe.ca/our-schools","2024-01-01"
87,"Île-du-Prince-Édouard","Province de l'Île-du-Prince-Édouard","PSB School Contact Information","https://psb.edu.pe.ca/our-schools","2023-07-24"
88,"Edmonton","Écoles publiques d'Edmonton","Edmonton Public Schools - All Schools","https://www.epsb.ca/schools/findaschool/list/","2024-09-24"
89,"Calgary","Commission scolaire de Calgary","Calgary Board of Education - School Directory","https://cbe.ab.ca/schools/school-directory/Pages/default.aspx","2024-06-26"
90,"Red Deer","Division scolaire de Red Deer","School Maps and Addresses","https://www.rdpsd.ab.ca/page/2061/school-directory","2019-10-08"
91,"Île-du-Prince-Édouard","Province de l'Île-du-Prince-Édouard","Nos écoles | La Commission scolaire de langue française","https://cslf.edu.pe.ca/nos-ecoles","2024-11-29"
92,"Colombie-Britannique","Province de la Colombie-Britannique","Student Headcount by Grade 2017/18 to 2023/24","Données non disponibles publiquement. Veuillez contacter le fournisseur pour plus d'informations","2024-11-29"
